,contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-4024778022934140027,-4024778022934140027,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,Learning to learn by gradient descent by gradient descent,What readers think about computer-generated texts,"Need Some AI? Yeah, There's a Marketplace for That",Google creates new European research group to focus on machine learning
-3980612444042641628,-3980612444042641628,Docker Cleanup Scripts Comparison,CoreOS's rkt Container Engine Hits 1.0,The Top 10 Most Common Mistakes That Node.js Developers Make,Google Is About to Supercharge Its TensorFlow Open Source AI,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords
-3964583697784528168,-3964583697784528168,Understanding the Twitter topic Tracker,2016 will be the year of conversational commerce - Chris Messina,Why Steve Jobs Was Proud to Steal Ideas,Uma recepção eficiente,"Bots, Messenger and the future of customer service"
-3959242148361340089,-3959242148361340089,NoSQL Performance Benchmarks,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint
-3954182109690207118,-3954182109690207118,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities","Apple acquires Turi, a machine learning company",Event Map For Google I/O 2016 Released
-3951274083288934897,-3951274083288934897,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,IBM makes a big shift into cognitive computing,Accenture and Adboe team on customer enegagement,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
-3944300307678659798,-3944300307678659798,Hintjens.com,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Elastic Stack 5.0.0 Released,Internet of Things Drives Outcome-Based Business Models,Closure Compiler in JavaScript
-3920984929373505016,-3920984929373505016,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Introducing Mini Courses with MS Chatbots,Create a Slack Bot to Interact with Your Wiki,Paragraphs,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog
-3920124114454832425,-3920124114454832425,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",Auto-scaling scikit-learn with Spark,How to choose algorithms for Microsoft Azure Machine Learning,To Be Continued: Helping you find shows you want to continue watching,TPOT: A Python tool for automating data science
-3915769742442748515,-3915769742442748515,"Facebook sends a loud message about Messenger bots, but will we hear it?",How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
-3912939678517879962,-3912939678517879962,Google's cloud platform is now a force to be reckoned with,Google estaria criando aceleradora para seus funcionários - Startupi,Announcing pricing for Google Stackdriver,Analyst: Google's cloud business could cause the stock to soar to over $900,9 Non-Threatening Leadership Strategies for Women
-3900870368325485697,-3900870368325485697,How AWS came to be,Cognizant Named a Digital Transformation Leader in the Life Science Industry,Five things to include in your digital transformation playbook,"Razorfish, US digital revenues, drag down Publicis",America's allies are preparing for a bumpy ride
-3886927790136130174,-3886927790136130174,What Millennials Want from a New Job,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Python Eats Into R as SAS Dominance Fades,O que você deve fazer para se tornar um líder melhor?
-3883591366197282127,-3883591366197282127,The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Google's Cloud Machine Learning service is now in public beta,Google may unveil Android VR headset at I/O conference
-3875881534863988868,-3875881534863988868,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,3M e o perfil intraempreendedor | Endeavor Brasil,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO","Elopar lança o ""Digio"", cartão para brigar com Nubank"
-3870325027932266414,-3870325027932266414,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth
-3870015206307768313,-3870015206307768313,NOW NEW NEXT: How growth champions create new value,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,"Handling context in ""outside-in""",WeChat's world,Woolworths
-3864069617285644895,-3864069617285644895,Guest post: building IoT applications with MQTT and Google Cloud Pub/Sub,Peças Translúcidas,Intel buys computer vision startup Itseez to improve navigation in self-driving cars,The Internet of Things,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão
-3850803681204406658,-3850803681204406658,Digital Leadership Is Not an Optional Part of Being a CEO,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,IBM makes a big shift into cognitive computing,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,CMN regulamenta abertura de conta de depósito por meio eletrônico
-3850335246895770347,-3850335246895770347,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"Tenho várias ideias de negócios, qual devo levar adiante?",Building AI Is Hard-So Facebook Is Building AI That Builds AI,Platform Overview
-3820497466351868775,-3820497466351868775,"Apple acquires Turi, a machine learning company",The AI business landscape,Deep learning software knows that a rose is a rose is a rosa rubiginosa,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Google's official Project Wing logo revealed
-3790313320969344469,-3790313320969344469,Lentes de contato inteligentes serão o wearable definitivo,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,40 Basic Japanese conversations,Platform Overview,"Apple's new file manager, APFS, is awesome"
-3785072380450959101,-3785072380450959101,Empresa desenvolve primeira variedade de cana geneticamente modificada,Unimart Shopping Campinas e Tetra Pak realizam Circuito da Reciclagem,Qual o estágio de transformação digital das empresas? Líderes de TI compartilham experiências,Brazilian Government and Ericsson to innovate together for Internet of Things,Hackathon - Portal Embrapa
-3780822597455574960,-3780822597455574960,GE integra inteligência artificial Alexa em uma lâmpada circular,Building immutable entities into Google Cloud Datastore,Gartner Reprint,Test and deploy to Google App Engine with the new Maven and Gradle plugins,"Google Cloud Endpoints now generally available: a fast, scalable API gateway"
-3760006690401014603,-3760006690401014603,Learn TypeScript in 30 Minutes,O homofóbico dentro de cada um,12 JavaScript Hacks,15 Interesting JavaScript and CSS Libraries for September 2016,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas"
-3759596852696130492,-3759596852696130492,19 Tips For Everyday Git Use,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,The Joel Test: 12 Steps to Better Code,Java Collections Cheat Sheet
-3751398885033121551,-3751398885033121551,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Características de Arquiteturas Evolutivas,Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U
-3751249597609107201,-3751249597609107201,DeepMind moves to TensorFlow,"Apple acquires Turi, a machine learning company",The AI business landscape,Google's official Project Wing logo revealed,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel
-3750879736572068916,-3750879736572068916,Grow fast or die slow: Focusing on customer success to drive growth,8 things to expect from Google's biggest event of the year,These gloves can convert sign language into spoken English,Twitter adds a button to help you train its algorithm,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-3739000323288188282,-3739000323288188282,Digital Leadership Is Not an Optional Part of Being a CEO,5 empresas que aplicam o Growth Hacking e que são sucesso,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,In defense of the Uber-ization of everything,Accenture and Adboe team on customer enegagement
-3734583695144530256,-3734583695144530256,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Chatbots are revolutionizing customer support,Fazer coisas acontecerem: Os 3 Mindsets que te ajudarão,TI Bimodal? Receita para o desastre...
-3723217532224917485,-3723217532224917485,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,"Android N Developer Preview 2, out today! | Android Developers Blog",One Dollar Board: Um projeto brasileiro para revolucionar a educação,Top 10 Hot Artificial Intelligence (AI) Technologies
-3716447017462787559,-3716447017462787559,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Chrome extension brings Medium's best feature to the whole Web,Infrequently Noted,Gmail API: New endpoints for settings,How the Communicator's Dilemma Made a 'Slack-lash' Inevitable
-3709378389941441506,-3709378389941441506,Docker Cleanup Scripts Comparison,The future of SaaS hosted git repository pricing,The Top 10 Most Common Mistakes That Node.js Developers Make,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,Spotify's Event Delivery - The Road to the Cloud (Part III)
